epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6865,1.8096,1.19749,1.10534,0.90108,0.87911,0.93336,0.48616,1.52219,0.7655,1.02716,0.000663946,0.000663946,0.000663946
2,154.026,1.58145,0.76405,1.03522,0.91889,0.89993,0.95073,0.50685,1.4789,0.67382,1.01226,0.00130427,0.00130427,0.00130427
3,227.152,1.54411,0.71546,1.02863,0.92393,0.92124,0.95938,0.51717,1.41695,0.66961,1.00032,0.00191819,0.00191819,0.00191819
4,300.841,1.51258,0.67985,1.02058,0.92071,0.91368,0.94516,0.46832,1.62662,0.68055,1.05046,0.0018812,0.0018812,0.0018812
5,374.154,1.47821,0.6534,1.01043,0.94201,0.92135,0.96529,0.54425,1.39549,0.61579,0.99171,0.0018416,0.0018416,0.0018416
6,449.314,1.46099,0.6387,1.00563,0.932,0.93021,0.96325,0.55419,1.37441,0.59387,0.98764,0.001802,0.001802,0.001802
7,523.272,1.44739,0.62695,1.00201,0.93749,0.94357,0.96827,0.55833,1.35975,0.58968,0.98027,0.0017624,0.0017624,0.0017624
8,596.775,1.42694,0.61503,0.99656,0.93618,0.93337,0.96798,0.55892,1.37425,0.59392,0.98359,0.0017228,0.0017228,0.0017228
9,671.016,1.41273,0.60601,0.9923,0.93961,0.94521,0.9747,0.56317,1.35891,0.58099,0.97903,0.0016832,0.0016832,0.0016832
10,747.543,1.41134,0.59953,0.99187,0.94222,0.94507,0.97583,0.57828,1.32586,0.56871,0.97127,0.0016436,0.0016436,0.0016436
11,820.893,1.39001,0.58975,0.98858,0.94585,0.94934,0.97778,0.57465,1.3184,0.56051,0.9735,0.001604,0.001604,0.001604
12,895.714,1.38966,0.58726,0.98578,0.95054,0.94369,0.97517,0.58682,1.3011,0.54924,0.96539,0.0015644,0.0015644,0.0015644
13,968.823,1.37778,0.57955,0.98119,0.94594,0.95393,0.97825,0.58675,1.30606,0.55507,0.96648,0.0015248,0.0015248,0.0015248
14,1042.49,1.36878,0.57584,0.97955,0.94742,0.9543,0.97831,0.58618,1.30088,0.541,0.96606,0.0014852,0.0014852,0.0014852
15,1116.67,1.35784,0.5675,0.9761,0.95079,0.95748,0.98077,0.59036,1.28914,0.54216,0.96193,0.0014456,0.0014456,0.0014456
16,1191.1,1.35216,0.56175,0.97445,0.95097,0.95065,0.97878,0.59299,1.27719,0.53218,0.95679,0.001406,0.001406,0.001406
17,1265.61,1.34503,0.56066,0.97387,0.9507,0.95223,0.97935,0.59984,1.25923,0.53106,0.95259,0.0013664,0.0013664,0.0013664
18,1340.71,1.33878,0.55546,0.97122,0.95383,0.95847,0.98181,0.5992,1.26182,0.51972,0.95306,0.0013268,0.0013268,0.0013268
19,1414.69,1.33384,0.55364,0.96818,0.95379,0.95939,0.98109,0.59844,1.26795,0.52963,0.95418,0.0012872,0.0012872,0.0012872
20,1489.83,1.32619,0.54834,0.96706,0.9593,0.95443,0.97921,0.6004,1.24777,0.51292,0.94831,0.0012476,0.0012476,0.0012476
21,1565.5,1.31405,0.54354,0.9642,0.95269,0.95732,0.98135,0.6087,1.23438,0.51334,0.94493,0.001208,0.001208,0.001208
22,1641.78,1.30727,0.5403,0.96319,0.95334,0.95939,0.98217,0.60674,1.23784,0.51071,0.9465,0.0011684,0.0011684,0.0011684
23,1716.48,1.30275,0.53607,0.96028,0.95529,0.95829,0.98164,0.61167,1.22978,0.50418,0.9424,0.0011288,0.0011288,0.0011288
24,1790.31,1.29245,0.53192,0.95779,0.95554,0.96655,0.98343,0.61564,1.21679,0.50178,0.93942,0.0010892,0.0010892,0.0010892
25,1864.4,1.28863,0.52934,0.95767,0.95776,0.96366,0.98326,0.61497,1.22238,0.50265,0.94142,0.0010496,0.0010496,0.0010496
26,1938.33,1.28572,0.52806,0.95463,0.95517,0.96173,0.98248,0.61823,1.21557,0.49432,0.93713,0.00101,0.00101,0.00101
27,2012.67,1.27762,0.52311,0.95203,0.95852,0.96081,0.98307,0.61816,1.21978,0.49565,0.94109,0.0009704,0.0009704,0.0009704
28,2087.33,1.27204,0.52071,0.95164,0.95571,0.96252,0.98306,0.6219,1.20201,0.48935,0.93536,0.0009308,0.0009308,0.0009308
29,2161.14,1.26477,0.51791,0.95108,0.95948,0.96161,0.98289,0.62251,1.20276,0.48778,0.93596,0.0008912,0.0008912,0.0008912
30,2234.84,1.2546,0.51369,0.9484,0.95886,0.95719,0.98279,0.624,1.191,0.48407,0.93151,0.0008516,0.0008516,0.0008516
31,2308.5,1.25435,0.51444,0.9466,0.96175,0.96503,0.9839,0.62966,1.17926,0.48456,0.92849,0.000812,0.000812,0.000812
32,2382.04,1.242,0.50872,0.94559,0.96051,0.96434,0.98322,0.62991,1.17724,0.48056,0.9273,0.0007724,0.0007724,0.0007724
33,2455.51,1.23801,0.50717,0.94262,0.96232,0.96328,0.98443,0.63218,1.17151,0.47682,0.9269,0.0007328,0.0007328,0.0007328
34,2529.03,1.23283,0.50355,0.94123,0.96279,0.96283,0.98418,0.63732,1.14782,0.47036,0.91956,0.0006932,0.0006932,0.0006932
35,2602.45,1.22288,0.49994,0.94008,0.96375,0.96448,0.98486,0.63539,1.16525,0.47155,0.92305,0.0006536,0.0006536,0.0006536
36,2676.59,1.21239,0.49626,0.93626,0.96264,0.96572,0.98473,0.63758,1.1512,0.46699,0.91967,0.000614,0.000614,0.000614
37,2750.31,1.2099,0.49598,0.93506,0.96207,0.96371,0.98428,0.63991,1.14576,0.46579,0.91935,0.0005744,0.0005744,0.0005744
38,2823.35,1.20511,0.49284,0.93262,0.9655,0.96572,0.98494,0.64172,1.1466,0.46433,0.91919,0.0005348,0.0005348,0.0005348
39,2895.49,1.20124,0.49143,0.93307,0.96106,0.96944,0.98557,0.64677,1.12407,0.45784,0.91261,0.0004952,0.0004952,0.0004952
40,2968.44,1.19369,0.48797,0.93043,0.9617,0.968,0.98525,0.64846,1.11709,0.45629,0.91009,0.0004556,0.0004556,0.0004556
41,3039.94,1.15566,0.46413,0.93381,0.9647,0.96689,0.9854,0.65069,1.11218,0.45302,0.91047,0.000416,0.000416,0.000416
42,3108.72,1.13746,0.45653,0.92698,0.96227,0.97178,0.98632,0.65621,1.09253,0.44804,0.90636,0.0003764,0.0003764,0.0003764
43,3174.99,1.1283,0.4537,0.92751,0.96402,0.97017,0.98639,0.66012,1.08737,0.44276,0.90384,0.0003368,0.0003368,0.0003368
44,3242.84,1.11772,0.45019,0.92285,0.9652,0.97026,0.98623,0.66145,1.07776,0.44273,0.90153,0.0002972,0.0002972,0.0002972
45,3309.33,1.10399,0.44597,0.91808,0.966,0.9704,0.98635,0.66397,1.06677,0.43948,0.90008,0.0002576,0.0002576,0.0002576
46,3376.78,1.10147,0.44407,0.91787,0.9656,0.9699,0.98636,0.66482,1.06204,0.43563,0.89788,0.000218,0.000218,0.000218
47,3444.75,1.08856,0.43931,0.91324,0.96591,0.96999,0.98671,0.67015,1.0484,0.4318,0.8952,0.0001784,0.0001784,0.0001784
48,3514.07,1.07735,0.43626,0.91157,0.96483,0.97316,0.98667,0.67142,1.04309,0.43014,0.89359,0.0001388,0.0001388,0.0001388
49,3581.17,1.07237,0.43377,0.91176,0.96627,0.97026,0.98642,0.67171,1.04034,0.42951,0.89307,9.92e-05,9.92e-05,9.92e-05
50,3649.6,1.06678,0.43135,0.90964,0.96787,0.97051,0.9866,0.67377,1.03061,0.42712,0.89086,5.96e-05,5.96e-05,5.96e-05
